customerid,customername,region,orderid,OrderDate,totalamount
KH00800,Nguyen Van An,Ha Noi,OD02840,2024-09-15,6
KH00746,Le Minh Hoang,Can Tho,OD05091,2024-06-15,56
KH00272,Bui Thi Lan,Ha Noi,OD04573,2024-03-15,89
KH00267,Cao Minh Tam,Can Tho,OD05583,2024-09-19,9
KH00677,Vu Minh Quan,Ha Noi,OD04788,2024-04-23,27
KH00940,Ly Thi Kim Chi,Ða Nang,OD05819,2024-11-04,72
KH00956,Bui Thi Lan,Ha Noi,OD02957,2024-03-07,22
KH00634,Le Minh Hoang,Ða Nang,OD02041,2024-03-31,39
KH00500,Cao Minh Tam,Ha Noi,OD05145,2024-07-15,6
KH00456,Ly Thi Kim Chi,Ha Noi,OD01682,2024-05-28,100
KH00762,Ngo Van Long,Ða Nang,OD05715,2024-10-29,57
KH00260,Tran Thi Bich Ngoc,Ho Chi Minh,OD04415,2024-09-24,53
KH00695,Tran Thi Bich Ngoc,Ha Noi,OD00267,2024-05-26,58
KH00635,Ðo Hoang Anh,Ho Chi Minh,OD02979,2024-09-12,93
KH00671,Nguyen Van An,Can Tho,OD05332,2024-02-24,48
KH00996,Bui Thi Lan,Hai Phong,OD01755,2024-11-13,86
KH00897,Ðo Hoang Anh,Hai Phong,OD02401,2024-07-25,64
KH00703,Ðang Thi Hanh,Ða Nang,OD02461,2024-05-23,17
KH00879,Vu Minh Quan,Ða Nang,OD00145,2024-09-17,91
KH00528,Huynh Thi Thu Ha,Ha Noi,OD06956,2024-10-03,100
KH00916,Le Minh Hoang,Ho Chi Minh,OD03209,2024-07-06,52
KH00843,Cao Minh Tam,Ha Noi,OD00860,2024-08-17,90
KH00737,Ðang Thi Hanh,Ho Chi Minh,OD04237,2024-04-05,28
KH00195,Ngo Van Long,Can Tho,OD01370,2024-09-17,73
KH00574,Ðang Thi Hanh,Ða Nang,OD07769,2024-04-19,39
KH00754,Ðang Thi Hanh,Can Tho,OD05535,2024-09-14,20
KH00624,Vu Minh Quan,Ða Nang,OD07782,2024-12-12,3
KH00174,Tran Thi Bich Ngoc,Ha Noi,OD05495,2024-05-10,26
KH00307,Cao Minh Tam,Ha Noi,OD00610,2024-07-26,62
KH00071,Cao Minh Tam,Ha Noi,OD02086,2024-11-03,82
KH00839,Huynh Thi Thu Ha,Hai Phong,OD01691,2024-12-05,25
KH00632,Vu Minh Quan,Can Tho,OD07300,2024-08-12,98
KH00937,Tran Thi Bich Ngoc,Ha Noi,OD03570,2024-10-08,45
KH00531,Cao Minh Tam,Can Tho,OD03633,2024-09-25,56
KH00232,Hoang Van Tien,Ho Chi Minh,OD01500,2024-09-20,83
KH00411,Nguyen Van An,Ho Chi Minh,OD04525,2024-05-28,14
KH00368,Huynh Thi Thu Ha,Ha Noi,OD07717,2024-04-01,78
KH00742,Ly Thi Kim Chi,Ða Nang,OD00895,2024-06-22,30
KH00160,Tran Thi Bich Ngoc,Ho Chi Minh,OD05880,2024-11-16,65
KH00651,Nguyen Van An,Ho Chi Minh,OD00727,2024-07-05,49
KH00612,Le Minh Hoang,Ha Noi,OD02262,2024-01-01,9
KH00589,Phan Thi Mai,Hai Phong,OD00996,2024-03-13,78
KH00282,Vu Minh Quan,Ha Noi,OD07008,2024-07-18,87
KH00114,Tran Thi Bich Ngoc,Ho Chi Minh,OD07168,2024-07-16,44
KH00185,Tran Thi Bich Ngoc,Ho Chi Minh,OD07212,2024-10-30,34
KH00939,Phan Thi Mai,Ho Chi Minh,OD04829,2023-12-28,66
KH00597,Phan Thi Mai,Can Tho,OD03955,2024-08-26,41
KH00707,Ngo Van Long,Ha Noi,OD00002,2024-05-07,25
KH00974,Nguyen Van An,Hai Phong,OD04674,2024-10-19,49
KH00269,Hoang Van Tien,Can Tho,OD01938,2024-10-31,86
KH00814,Huynh Thi Thu Ha,Ha Noi,OD05992,2024-05-11,98
KH00633,Pham Thi Thanh Huong,Can Tho,OD00852,2024-01-11,24
KH00706,Nguyen Van An,Hai Phong,OD06546,2024-06-28,11
KH00777,Ly Thi Kim Chi,Hai Phong,OD01477,2024-05-01,78
KH00522,Ngo Van Long,Ho Chi Minh,OD04304,2024-04-30,86
KH00279,Le Minh Hoang,Hai Phong,OD06236,2024-07-15,13
KH00931,Nguyen Van An,Can Tho,OD00368,2024-01-26,67
KH00330,Bui Thi Lan,Ho Chi Minh,OD02831,2024-04-01,34
KH00147,Pham Thi Thanh Huong,Ða Nang,OD04663,2024-11-17,13
KH00309,Phan Thi Mai,Ða Nang,OD06682,2024-04-10,85
KH00739,Bui Thi Lan,Ha Noi,OD01686,2024-05-26,19
KH00149,Ly Thi Kim Chi,Can Tho,OD07697,2024-04-17,6
KH00003,Bui Thi Lan,Hai Phong,OD02071,2024-11-22,13
KH00210,Tran Thi Bich Ngoc,Ða Nang,OD03780,2024-07-24,66
KH00314,Ly Thi Kim Chi,Can Tho,OD03445,2024-06-29,85
KH00038,Ðang Thi Hanh,Hai Phong,OD06193,2024-11-11,92
KH00892,Nguyen Van An,Can Tho,OD05291,2024-12-08,4
KH00736,Ðo Hoang Anh,Hai Phong,OD01590,2024-04-06,65
KH00962,Hoang Van Tien,Can Tho,OD01678,2024-09-12,42
KH00313,Pham Thi Thanh Huong,Ða Nang,OD05730,2024-10-23,78
KH00040,Nguyen Van An,Ða Nang,OD06151,2024-09-27,94
KH00834,Hoang Van Tien,Ða Nang,OD03705,2024-03-09,85
KH00799,Ly Thi Kim Chi,Can Tho,OD06762,2024-04-26,49
KH00986,Phan Thi Mai,Ho Chi Minh,OD03906,2024-06-11,36
KH00467,Ðang Thi Hanh,Ha Noi,OD07740,2023-12-23,48
KH00878,Vu Minh Quan,Ða Nang,OD03592,2024-04-02,9
KH00546,Ly Thi Kim Chi,Ho Chi Minh,OD00351,2024-10-16,27
KH00157,Vu Minh Quan,Ða Nang,OD01428,2024-09-26,53
KH00423,Ðang Thi Hanh,Ho Chi Minh,OD06612,2024-03-27,20
KH00261,Nguyen Van An,Ho Chi Minh,OD00541,2024-12-03,37
KH00380,Tran Thi Bich Ngoc,Can Tho,OD01057,2024-09-13,89
KH00693,Vu Minh Quan,Ða Nang,OD03436,2024-08-09,55
KH00332,Ngo Van Long,Can Tho,OD02383,2024-05-28,90
KH00186,Cao Minh Tam,Ða Nang,OD05945,2024-05-29,52
KH00340,Vu Minh Quan,Hai Phong,OD03856,2024-08-25,97
KH00977,Nguyen Van An,Ho Chi Minh,OD01926,2024-09-04,100
KH00323,Ngo Van Long,Hai Phong,OD02681,2024-03-27,61
KH00936,Phan Thi Mai,Ða Nang,OD03966,2024-08-03,45
KH00455,Ly Thi Kim Chi,Ha Noi,OD06632,2024-02-08,77
KH00776,Ðo Hoang Anh,Ða Nang,OD00082,2024-04-11,16
KH00891,Le Minh Hoang,Ða Nang,OD01489,2024-09-30,36
KH00718,Pham Thi Thanh Huong,Hai Phong,OD03695,2024-08-21,24
KH00136,Ngo Van Long,Ha Noi,OD04804,2024-01-29,5
KH00415,Vu Minh Quan,Ða Nang,OD01107,2024-02-13,84
KH00549,Ðang Thi Hanh,Ða Nang,OD05356,2024-08-13,69
KH00713,Cao Minh Tam,Ha Noi,OD02537,2024-06-23,9
KH00264,Bui Thi Lan,Can Tho,OD04770,2024-06-03,75
KH00638,Ðo Hoang Anh,Hai Phong,OD06940,2024-08-24,82
KH00305,Ngo Van Long,Hai Phong,OD02305,2024-11-04,34
KH00496,Vu Minh Quan,Ha Noi,OD02968,2024-08-23,57
KH00944,Ðang Thi Hanh,Ða Nang,OD03388,2024-12-16,32
KH00686,Ðang Thi Hanh,Ho Chi Minh,OD01732,2024-02-11,27
KH00435,Bui Thi Lan,Hai Phong,OD01893,2023-12-26,94
KH00221,Phan Thi Mai,Ða Nang,OD06705,2024-10-25,43
KH00316,Nguyen Van An,Ða Nang,OD03399,2024-07-04,8
KH00848,Phan Thi Mai,Ða Nang,OD04744,2024-05-26,47
KH00807,Le Minh Hoang,Ha Noi,OD04903,2024-01-01,44
KH00836,Vu Minh Quan,Ða Nang,OD06869,2024-05-22,88
KH00020,Tran Thi Bich Ngoc,Ða Nang,OD04870,2024-05-06,47
KH00770,Phan Thi Mai,Ða Nang,OD00384,2024-02-17,17
KH00993,Nguyen Van An,Ha Noi,OD00559,2024-12-17,61
KH00794,Ly Thi Kim Chi,Hai Phong,OD01028,2024-12-07,2
KH00894,Ðo Hoang Anh,Hai Phong,OD07311,2024-02-15,31
KH00601,Le Minh Hoang,Ða Nang,OD06839,2024-08-13,11
KH00511,Ðo Hoang Anh,Can Tho,OD07834,2024-08-16,63
KH00360,Ly Thi Kim Chi,Ða Nang,OD01770,2024-07-01,95
KH00588,Ðo Hoang Anh,Hai Phong,OD02295,2024-10-19,64
KH00209,Phan Thi Mai,Ha Noi,OD07883,2024-01-20,10
KH00301,Le Minh Hoang,Ða Nang,OD00371,2024-10-02,53
KH00600,Le Minh Hoang,Hai Phong,OD05177,2024-07-20,94
KH00234,Huynh Thi Thu Ha,Hai Phong,OD05561,2024-01-07,33
KH00351,Vu Minh Quan,Can Tho,OD03530,2024-06-20,27
KH00669,Ðo Hoang Anh,Can Tho,OD04831,2024-11-24,71
KH00673,Ngo Van Long,Hai Phong,OD05111,2024-11-26,61
KH00960,Ðang Thi Hanh,Hai Phong,OD06892,2023-12-28,66
KH00553,Ly Thi Kim Chi,Ho Chi Minh,OD07597,2024-09-15,67
KH00484,Bui Thi Lan,Can Tho,OD07088,2024-10-24,94
KH00890,Le Minh Hoang,Ha Noi,OD01966,2024-04-10,5
KH00494,Huynh Thi Thu Ha,Ða Nang,OD06879,2024-06-11,40
KH00664,Bui Thi Lan,Ha Noi,OD06978,2024-04-08,36
KH00338,Huynh Thi Thu Ha,Ho Chi Minh,OD00721,2024-08-12,43
KH00431,Nguyen Van An,Hai Phong,OD03469,2024-07-26,84
KH00029,Le Minh Hoang,Can Tho,OD04188,2024-04-30,52
KH00133,Bui Thi Lan,Ha Noi,OD03387,2024-10-24,60
KH00374,Bui Thi Lan,Ha Noi,OD06792,2024-12-21,66
KH00106,Ðang Thi Hanh,Hai Phong,OD05909,2023-12-24,86
KH00469,Ngo Van Long,Can Tho,OD05719,2024-04-18,64
KH00451,Ngo Van Long,Ho Chi Minh,OD04124,2024-11-05,45
KH00113,Ly Thi Kim Chi,Ha Noi,OD03694,2024-03-04,76
KH00361,Ðang Thi Hanh,Can Tho,OD06600,2024-09-14,67
KH00440,Bui Thi Lan,Ho Chi Minh,OD06838,2024-01-09,66
KH00482,Ngo Van Long,Ha Noi,OD04364,2024-01-28,46
KH00694,Ly Thi Kim Chi,Can Tho,OD03685,2024-05-30,69
KH00684,Pham Thi Thanh Huong,Ða Nang,OD05137,2024-11-30,83
KH00786,Cao Minh Tam,Ða Nang,OD01947,2024-11-02,37
KH00153,Pham Thi Thanh Huong,Ha Noi,OD01092,2024-06-02,90
KH00745,Pham Thi Thanh Huong,Can Tho,OD06519,2024-03-14,34
KH00817,Ðo Hoang Anh,Hai Phong,OD05125,2024-06-15,70
KH00969,Bui Thi Lan,Ða Nang,OD07998,2024-08-07,78
KH00680,Ðo Hoang Anh,Ða Nang,OD04601,2024-10-02,74
KH00495,Hoang Van Tien,Hai Phong,OD05757,2024-09-23,18
KH00724,Hoang Van Tien,Ha Noi,OD00998,2024-10-28,21
KH00513,Ðo Hoang Anh,Hai Phong,OD02439,2024-09-11,53
KH00382,Huynh Thi Thu Ha,Ða Nang,OD02952,2024-09-19,82
KH00177,Huynh Thi Thu Ha,Ha Noi,OD01662,2024-06-17,100
KH00346,Bui Thi Lan,Ho Chi Minh,OD02151,2024-12-14,47
KH00806,Ðo Hoang Anh,Ða Nang,OD05873,2024-06-28,78
KH00767,Phan Thi Mai,Ða Nang,OD04764,2024-02-21,23
KH00586,Huynh Thi Thu Ha,Ho Chi Minh,OD07869,2024-10-11,85
KH00093,Ly Thi Kim Chi,Hai Phong,OD01375,2024-10-25,47
KH00792,Cao Minh Tam,Ha Noi,OD06711,2024-04-16,32
KH00760,Phan Thi Mai,Hai Phong,OD02199,2024-03-31,28
KH00649,Huynh Thi Thu Ha,Ho Chi Minh,OD02762,2024-04-22,75
KH00930,Vu Minh Quan,Hai Phong,OD03166,2024-09-28,77
KH00119,Ly Thi Kim Chi,Ha Noi,OD01523,2024-01-22,13
KH00789,Nguyen Van An,Hai Phong,OD05970,2024-01-31,12
KH00674,Ðo Hoang Anh,Can Tho,OD06159,2024-05-06,32
KH00086,Ngo Van Long,Ða Nang,OD06821,2024-09-09,46
KH00096,Ðang Thi Hanh,Ho Chi Minh,OD07231,2024-11-06,57
KH00183,Ðang Thi Hanh,Ha Noi,OD07068,2024-06-13,2
KH00805,Bui Thi Lan,Can Tho,OD00678,2024-07-18,84
KH00623,Ðang Thi Hanh,Ha Noi,OD00739,2024-11-26,90
KH00637,Huynh Thi Thu Ha,Ha Noi,OD04098,2024-06-23,64
KH00437,Ly Thi Kim Chi,Can Tho,OD02145,2024-05-04,12
KH00394,Le Minh Hoang,Ða Nang,OD05374,2024-02-05,27
KH00605,Bui Thi Lan,Can Tho,OD03217,2024-07-14,52
KH00845,Ðo Hoang Anh,Can Tho,OD05679,2024-01-02,93
KH00704,Ly Thi Kim Chi,Ha Noi,OD02475,2024-04-13,97
KH00392,Tran Thi Bich Ngoc,Ha Noi,OD04989,2024-04-10,77
KH00400,Bui Thi Lan,Hai Phong,OD01215,2024-01-08,70
KH00363,Huynh Thi Thu Ha,Hai Phong,OD06608,2024-10-27,70
KH00416,Vu Minh Quan,Ha Noi,OD04361,2024-11-27,35
KH00230,Ðo Hoang Anh,Can Tho,OD06938,2024-09-09,41
KH00594,Le Minh Hoang,Hai Phong,OD05635,2024-05-11,80
KH00225,Huynh Thi Thu Ha,Ha Noi,OD03577,2024-05-25,29
KH00909,Nguyen Van An,Ho Chi Minh,OD02448,2024-06-07,84
KH00678,Vu Minh Quan,Ho Chi Minh,OD00288,2024-03-19,67
KH00773,Ðang Thi Hanh,Ho Chi Minh,OD01427,2024-03-23,11
KH00286,Ðang Thi Hanh,Ho Chi Minh,OD01548,2024-07-22,77
KH00421,Phan Thi Mai,Ða Nang,OD04121,2024-09-16,91
KH00256,Huynh Thi Thu Ha,Ho Chi Minh,OD01647,2024-09-27,99
KH00952,Ðo Hoang Anh,Ho Chi Minh,OD07483,2024-03-27,92
KH00752,Ly Thi Kim Chi,Ha Noi,OD01706,2024-09-19,47
KH00011,Nguyen Van An,Ða Nang,OD02884,2024-03-02,42
KH00331,Bui Thi Lan,Hai Phong,OD01646,2024-05-28,53
KH00473,Ly Thi Kim Chi,Ða Nang,OD05718,2024-08-24,67
KH00584,Ðo Hoang Anh,Ða Nang,OD06511,2024-03-17,79
KH00873,Phan Thi Mai,Hai Phong,OD07487,2024-07-03,15
KH00074,Bui Thi Lan,Ho Chi Minh,OD03678,2024-12-09,11
KH00657,Nguyen Van An,Ha Noi,OD02150,2024-10-13,7
KH00925,Huynh Thi Thu Ha,Ða Nang,OD05316,2024-07-26,25
KH00964,Huynh Thi Thu Ha,Ha Noi,OD06855,2024-04-26,90
KH00223,Pham Thi Thanh Huong,Ha Noi,OD02376,2024-10-31,25
KH00406,Vu Minh Quan,Ða Nang,OD03686,2024-06-19,81
KH00965,Ly Thi Kim Chi,Can Tho,OD07676,2024-11-01,95
KH00922,Huynh Thi Thu Ha,Ho Chi Minh,OD03818,2024-03-02,92
KH00899,Phan Thi Mai,Ha Noi,OD07479,2024-08-13,90
KH00644,Nguyen Van An,Ho Chi Minh,OD06439,2023-12-27,69
KH00492,Phan Thi Mai,Hai Phong,OD00213,2024-05-14,82
KH00387,Ngo Van Long,Ha Noi,OD07310,2024-05-27,51
KH00253,Ðo Hoang Anh,Can Tho,OD07931,2024-08-25,49
KH00690,Hoang Van Tien,Can Tho,OD07326,2024-04-21,49
KH00352,Pham Thi Thanh Huong,Ða Nang,OD01210,2024-01-03,75
KH00757,Ðo Hoang Anh,Ha Noi,OD03742,2024-02-25,75
KH00978,Tran Thi Bich Ngoc,Ho Chi Minh,OD01779,2024-04-04,39
KH00881,Ngo Van Long,Ho Chi Minh,OD07339,2024-02-23,2
KH00474,Vu Minh Quan,Can Tho,OD02187,2024-10-09,98
KH00701,Ðo Hoang Anh,Hai Phong,OD06571,2024-09-01,96
KH00676,Ðang Thi Hanh,Ho Chi Minh,OD03800,2024-06-27,88
KH00178,Ngo Van Long,Ha Noi,OD02131,2024-09-17,64
KH00348,Ly Thi Kim Chi,Ða Nang,OD01436,2024-01-03,46
KH00966,Bui Thi Lan,Ha Noi,OD01854,2024-10-02,88
KH00418,Phan Thi Mai,Hai Phong,OD05476,2023-12-31,68
KH00271,Tran Thi Bich Ngoc,Ha Noi,OD05815,2024-09-01,54
KH00190,Le Minh Hoang,Ho Chi Minh,OD00799,2024-10-17,20
KH00384,Huynh Thi Thu Ha,Hai Phong,OD01054,2024-07-28,98
KH00091,Phan Thi Mai,Hai Phong,OD02292,2024-11-11,46
KH00716,Ly Thi Kim Chi,Hai Phong,OD05978,2024-08-25,39
KH00656,Ðo Hoang Anh,Ho Chi Minh,OD00336,2024-02-11,3
KH00949,Ngo Van Long,Hai Phong,OD05761,2024-09-18,93
KH00039,Bui Thi Lan,Ða Nang,OD05203,2024-02-22,86
KH00536,Ðang Thi Hanh,Can Tho,OD07580,2024-11-13,17
KH00735,Ly Thi Kim Chi,Ha Noi,OD04018,2024-12-20,72
KH00933,Le Minh Hoang,Ho Chi Minh,OD04602,2024-02-02,55
KH00910,Tran Thi Bich Ngoc,Ha Noi,OD00832,2024-09-12,73
KH00080,Ngo Van Long,Hai Phong,OD06322,2024-01-24,85
KH00357,Pham Thi Thanh Huong,Hai Phong,OD01635,2024-06-02,16
KH00730,Ngo Van Long,Ha Noi,OD02805,2024-06-16,56
KH00087,Vu Minh Quan,Ða Nang,OD00061,2024-03-17,7
KH00861,Huynh Thi Thu Ha,Can Tho,OD01045,2024-09-23,66
KH00247,Ðo Hoang Anh,Ða Nang,OD02467,2024-11-21,15
KH00997,Vu Minh Quan,Hai Phong,OD02939,2024-08-14,48
KH00085,Vu Minh Quan,Ha Noi,OD05271,2024-11-29,97
KH00475,Vu Minh Quan,Hai Phong,OD06751,2024-01-06,77
KH00911,Ngo Van Long,Ha Noi,OD03936,2024-02-03,34
KH00758,Le Minh Hoang,Ho Chi Minh,OD01560,2024-01-25,90
KH00203,Tran Thi Bich Ngoc,Ho Chi Minh,OD07795,2024-03-24,81
KH00046,Cao Minh Tam,Ða Nang,OD00167,2024-02-10,72
KH00950,Ðang Thi Hanh,Ho Chi Minh,OD00569,2024-05-21,63
KH00561,Ðo Hoang Anh,Hai Phong,OD06891,2024-12-14,18
KH00995,Ngo Van Long,Ho Chi Minh,OD07249,2024-11-18,79
KH00535,Vu Minh Quan,Ða Nang,OD07015,2024-09-26,89
KH00287,Le Minh Hoang,Can Tho,OD06557,2024-07-07,80
KH00846,Le Minh Hoang,Can Tho,OD00568,2024-11-12,24
KH00750,Huynh Thi Thu Ha,Ho Chi Minh,OD07239,2024-04-10,47
KH00928,Phan Thi Mai,Ho Chi Minh,OD05824,2024-06-08,8
KH00010,Ðang Thi Hanh,Ða Nang,OD00792,2024-06-17,84
KH00755,Ðo Hoang Anh,Can Tho,OD05726,2024-09-15,76
KH00176,Ðang Thi Hanh,Ða Nang,OD02967,2024-12-11,4
KH00854,Nguyen Van An,Ha Noi,OD02296,2024-05-22,31
KH00552,Cao Minh Tam,Hai Phong,OD06960,2024-03-30,59
KH00551,Pham Thi Thanh Huong,Can Tho,OD06028,2024-10-05,100
KH00187,Le Minh Hoang,Hai Phong,OD04858,2024-06-09,58
KH00971,Tran Thi Bich Ngoc,Ho Chi Minh,OD00543,2024-03-24,86
KH00663,Ngo Van Long,Ho Chi Minh,OD07361,2024-09-25,44
KH00667,Ly Thi Kim Chi,Ha Noi,OD07163,2024-01-03,49
KH00479,Hoang Van Tien,Hai Phong,OD07814,2024-09-24,17
KH00903,Bui Thi Lan,Ho Chi Minh,OD02047,2024-05-06,24
KH00919,Bui Thi Lan,Ða Nang,OD07667,2024-07-12,56
KH00304,Le Minh Hoang,Ha Noi,OD04898,2024-11-27,69
KH00510,Hoang Van Tien,Ho Chi Minh,OD04065,2024-03-01,95
KH00290,Tran Thi Bich Ngoc,Can Tho,OD02325,2024-10-29,23
KH00923,Ngo Van Long,Ha Noi,OD00247,2024-12-08,49
KH00712,Huynh Thi Thu Ha,Can Tho,OD07140,2024-01-18,81
KH00166,Tran Thi Bich Ngoc,Ho Chi Minh,OD00616,2024-10-22,44
KH00968,Nguyen Van An,Can Tho,OD02565,2024-12-10,51
KH00523,Tran Thi Bich Ngoc,Ha Noi,OD07101,2024-09-04,26
KH00294,Le Minh Hoang,Can Tho,OD06955,2024-04-14,68
KH00932,Phan Thi Mai,Ho Chi Minh,OD04709,2024-04-13,77
KH00292,Huynh Thi Thu Ha,Can Tho,OD06281,2024-03-31,71
KH00989,Nguyen Van An,Ha Noi,OD07045,2024-06-28,77
KH00556,Phan Thi Mai,Ha Noi,OD06284,2024-06-07,38
KH00979,Ðang Thi Hanh,Ha Noi,OD03341,2024-02-25,69
KH00699,Vu Minh Quan,Can Tho,OD06709,2024-05-01,74
KH00955,Phan Thi Mai,Hai Phong,OD07363,2024-01-19,77
KH00841,Bui Thi Lan,Hai Phong,OD06094,2024-07-10,26
KH00625,Tran Thi Bich Ngoc,Hai Phong,OD04009,2024-07-20,64
KH00319,Ðang Thi Hanh,Ho Chi Minh,OD06937,2024-04-06,53
KH00464,Pham Thi Thanh Huong,Ða Nang,OD02059,2024-09-18,80
KH00591,Ly Thi Kim Chi,Hai Phong,OD02619,2024-05-01,95
KH00775,Pham Thi Thanh Huong,Ða Nang,OD07222,2024-06-27,71
KH00169,Phan Thi Mai,Can Tho,OD01530,2024-08-04,47
KH00685,Nguyen Van An,Ho Chi Minh,OD02657,2024-03-06,49
KH00432,Pham Thi Thanh Huong,Ho Chi Minh,OD00531,2024-12-13,13
KH00082,Phan Thi Mai,Ða Nang,OD00335,2024-05-23,20
KH00654,Tran Thi Bich Ngoc,Can Tho,OD06768,2024-04-25,89
KH00627,Ly Thi Kim Chi,Ho Chi Minh,OD04024,2024-09-16,72
KH00299,Ngo Van Long,Hai Phong,OD07103,2024-08-17,27
KH00355,Ngo Van Long,Ða Nang,OD00214,2024-06-01,50
KH00041,Bui Thi Lan,Ða Nang,OD07790,2024-09-06,56
KH00567,Nguyen Van An,Ða Nang,OD05501,2024-02-06,11
KH00008,Huynh Thi Thu Ha,Can Tho,OD06668,2024-12-14,7
KH00866,Nguyen Van An,Hai Phong,OD03338,2024-03-25,19
KH00915,Ngo Van Long,Ho Chi Minh,OD07727,2024-04-11,16
KH00356,Phan Thi Mai,Ha Noi,OD05544,2024-08-15,74
KH00336,Huynh Thi Thu Ha,Hai Phong,OD06031,2024-06-14,12
KH00401,Tran Thi Bich Ngoc,Hai Phong,OD03554,2024-04-30,61
KH00220,Ðang Thi Hanh,Ho Chi Minh,OD03683,2024-03-07,24
KH00698,Ðo Hoang Anh,Ha Noi,OD06485,2024-07-14,42
KH00477,Ðang Thi Hanh,Ho Chi Minh,OD02221,2024-05-16,93
KH00708,Hoang Van Tien,Ða Nang,OD05521,2024-10-08,90
KH00884,Tran Thi Bich Ngoc,Ha Noi,OD07990,2024-11-23,20
KH00945,Nguyen Van An,Can Tho,OD06290,2024-10-29,1
KH00529,Huynh Thi Thu Ha,Ha Noi,OD01378,2024-08-20,47
KH00908,Nguyen Van An,Hai Phong,OD05648,2024-09-03,95
KH00295,Vu Minh Quan,Ða Nang,OD05193,2024-03-24,85
KH00036,Cao Minh Tam,Can Tho,OD02048,2024-07-15,56
KH00675,Pham Thi Thanh Huong,Can Tho,OD00551,2024-01-29,20
KH00280,Huynh Thi Thu Ha,Can Tho,OD07756,2024-03-21,62
KH00747,Tran Thi Bich Ngoc,Hai Phong,OD06593,2024-06-05,40
KH00569,Nguyen Van An,Ho Chi Minh,OD03597,2024-12-08,55
KH00242,Hoang Van Tien,Ha Noi,OD01746,2024-03-21,99
KH00858,Ðang Thi Hanh,Ha Noi,OD06073,2024-10-27,24
KH00918,Hoang Van Tien,Can Tho,OD01955,2024-06-20,77
KH00152,Le Minh Hoang,Ho Chi Minh,OD06853,2024-11-26,97
KH00098,Cao Minh Tam,Can Tho,OD03233,2024-02-19,17
KH00345,Tran Thi Bich Ngoc,Can Tho,OD01336,2024-05-15,1
KH00825,Hoang Van Tien,Can Tho,OD05525,2024-04-08,65
KH00717,Pham Thi Thanh Huong,Ho Chi Minh,OD02636,2024-01-05,87
KH00514,Ðang Thi Hanh,Ho Chi Minh,OD06620,2024-08-05,96
KH00579,Cao Minh Tam,Ho Chi Minh,OD00259,2024-12-03,93
KH00822,Le Minh Hoang,Hai Phong,OD03918,2024-10-09,99
KH00761,Ngo Van Long,Ða Nang,OD05128,2024-05-06,90
KH00315,Huynh Thi Thu Ha,Can Tho,OD03823,2024-09-11,12
KH00196,Bui Thi Lan,Ða Nang,OD07260,2024-01-23,6
KH00859,Le Minh Hoang,Hai Phong,OD04994,2024-02-07,20
KH00830,Ly Thi Kim Chi,Ða Nang,OD06376,2024-01-21,41
KH00018,Ngo Van Long,Ða Nang,OD04499,2024-01-09,59
KH00801,Ðang Thi Hanh,Ha Noi,OD00906,2024-12-11,62
KH00882,Bui Thi Lan,Ha Noi,OD04194,2024-11-20,48
KH00055,Vu Minh Quan,Hai Phong,OD05589,2024-04-18,42
KH00554,Le Minh Hoang,Can Tho,OD05470,2024-03-28,33
KH00992,Ðang Thi Hanh,Ho Chi Minh,OD04620,2024-05-09,37
KH00485,Hoang Van Tien,Ha Noi,OD04958,2024-04-30,47
KH00293,Cao Minh Tam,Ha Noi,OD05875,2024-02-25,41
KH00019,Bui Thi Lan,Ho Chi Minh,OD02098,2024-05-02,74
KH00434,Hoang Van Tien,Can Tho,OD06633,2024-10-08,64
KH00797,Hoang Van Tien,Ha Noi,OD01284,2024-06-10,100
KH00217,Ngo Van Long,Ho Chi Minh,OD04840,2024-10-01,1
KH00165,Tran Thi Bich Ngoc,Ða Nang,OD01774,2024-05-31,18
KH00051,Bui Thi Lan,Ha Noi,OD02811,2024-12-09,95
KH00926,Phan Thi Mai,Ða Nang,OD06026,2024-10-15,86
KH00740,Tran Thi Bich Ngoc,Ða Nang,OD02587,2024-10-16,69
KH00994,Ðo Hoang Anh,Can Tho,OD00290,2024-01-22,95
KH00391,Ngo Van Long,Ða Nang,OD01803,2024-05-12,18
KH00237,Ly Thi Kim Chi,Ða Nang,OD00938,2024-04-15,87
KH00545,Bui Thi Lan,Ha Noi,OD02207,2024-09-11,81
KH00426,Pham Thi Thanh Huong,Ða Nang,OD00233,2024-11-14,67
KH00808,Le Minh Hoang,Hai Phong,OD07897,2024-01-29,53
KH00121,Bui Thi Lan,Ða Nang,OD00581,2024-09-10,63
KH00017,Le Minh Hoang,Ha Noi,OD01937,2024-07-01,42
KH00700,Ðo Hoang Anh,Hai Phong,OD04778,2024-11-10,47
KH00329,Ðo Hoang Anh,Ða Nang,OD00436,2024-05-01,9
KH00398,Ðo Hoang Anh,Ho Chi Minh,OD02172,2024-09-16,72
KH00066,Hoang Van Tien,Ho Chi Minh,OD07791,2024-09-30,8
KH00705,Nguyen Van An,Ho Chi Minh,OD07773,2024-07-11,24
KH00064,Bui Thi Lan,Ha Noi,OD01288,2024-07-16,45
KH00417,Ðang Thi Hanh,Hai Phong,OD07253,2024-10-23,97
KH00385,Ðang Thi Hanh,Can Tho,OD01095,2024-04-14,40
KH00800,Nguyen Van An,Ha Noi,OD03616,2024-06-26,95
KH00746,Le Minh Hoang,Can Tho,OD03514,2024-07-25,93
